Original_Content,Preprocessed_Content
Sudah update versi terbaru tetap saja utk setting alamat via maps tetap ga sesuai... Titik sudah pas tp alamatnya beda... Pdhl di aplikasi lain utk setting alamat ga ada masalah... Cuma halodoc aja yg ribet... Jd males pake aplikasi ini...,sudah update versi terbaru tetap saja utk setting alamat via maps tetap ga sesuai    titik sudah pas tp alamatnya beda    pdhl di aplikasi lain utk setting alamat ga ada masalah    cuma halodoc aja yg ribet    jd males pake aplikasi ini   
"Untuk toko kesehatan kurirnya tolong diperbaiki lagi, udah pilih yang instant (1 jam) gak dateng"", ga ada bedanya sama instant hemat (3jam). Dan sisten pembatalan pesanan tolong diperbaiki. Saya jadi beli 2 obat gara"" terlalu lama datangnya. Tolong next diperbaiki kurirnya karena ini untuk orang yang sakit, setidaknya tepat waktu dan kurirnya punya nomor aktif yang bisa ditelepon/sms.",untuk toko kesehatan kurirnya tolong diperbaiki lagi  udah pilih yang instant    jam  gak dateng   ga ada bedanya sama instant hemat   jam   dan sisten pembatalan pesanan tolong diperbaiki  saya jadi beli   obat gara  terlalu lama datangnya  tolong next diperbaiki kurirnya karena ini untuk orang yang sakit  setidaknya tepat waktu dan kurirnya punya nomor aktif yang bisa ditelepon sms 
"Saat buka aplikasi loading terus, sampe akhirnya coba reinstall. Setelah login ke halaman dashboard masih tetep sama loading terus. Tombol apapun di pencet gabisa. Developer nya gimana itu? Segera perbaiki utk kenyamanan pengguna.",saat buka aplikasi loading terus  sampe akhirnya coba reinstall  setelah login ke halaman dashboard masih tetep sama loading terus  tombol apapun di pencet gabisa  developer nya gimana itu  segera perbaiki utk kenyamanan pengguna 
"Bikin hp error. Gak bisa kembali dan klo beli beberapa obat, aplikasi nya langsung error. Gak bisa k menu utama. Hrs d restart dulu. Dan itupun hrs menunggu lama buat loading halodoc nya. Jd hrs d uninstall deh... bikin emosi",bikin hp error  gak bisa kembali dan klo beli beberapa obat  aplikasi nya langsung error  gak bisa k menu utama  hrs d restart dulu  dan itupun hrs menunggu lama buat loading halodoc nya  jd hrs d uninstall deh    bikin emosi
"Kalo ngga niat promo mending ngga usah adain promo..!! Setelah pakai kode promo & sudah pesan, tiba tiba langsung cancel & refund. Aplikasi juga ngga bisa login. Parah..!!",kalo ngga niat promo mending ngga usah adain promo     setelah pakai kode promo   sudah pesan  tiba tiba langsung cancel   refund  aplikasi juga ngga bisa login  parah    
"Tidak bisa menyimpan alamat secara manual, alamatnya ditentukan secara otomatis... lokasi pin sudah sesuai tapi alamat yg muncul berbeda, masukin alamat manual malah yg keluar alamat2 rekomendasi yg gk jelas 😑 perbaiki itu, apa gunanya fitur simpan alamat kalau gk bisa disetting alamat secara manual?? contoh fitur simpan alamat dari E-commerce yg bisa simpan alamat secara manual, tag pin akurat sesuai alamat yg ter pin 🙄 isi alamatnya ribet",tidak bisa menyimpan alamat secara manual  alamatnya ditentukan secara otomatis    lokasi pin sudah sesuai tapi alamat yg muncul berbeda  masukin alamat manual malah yg keluar alamat  rekomendasi yg gk jelas 😑 perbaiki itu  apa gunanya fitur simpan alamat kalau gk bisa disetting alamat secara manual   contoh fitur simpan alamat dari e commerce yg bisa simpan alamat secara manual  tag pin akurat sesuai alamat yg ter pin 🙄 isi alamatnya ribet
Tolong dong daftar list obat ditambah atau diperbaharui. Buang waktu dan buang uang aja udh konsul online obat yang dicari ga ada. Percuma. Lebih efektif berobat langsung ke dokter aja gitu caranya sih,tolong dong daftar list obat ditambah atau diperbaharui  buang waktu dan buang uang aja udh konsul online obat yang dicari ga ada  percuma  lebih efektif berobat langsung ke dokter aja gitu caranya sih
"Pesanan tulisannya sudah di terima tapi barang tdk sampai tdk bisa dilacak tdk ad bukti penerima no kurir yang bisa di hubungi,ini sudah kali ke dua seperti ini, sebelumnya barang di lempar ke rumah orang lain,apa bila bahan kemasan obat dari kaca bisa pecah",pesanan tulisannya sudah di terima tapi barang tdk sampai tdk bisa dilacak tdk ad bukti penerima no kurir yang bisa di hubungi ini sudah kali ke dua seperti ini  sebelumnya barang di lempar ke rumah orang lain apa bila bahan kemasan obat dari kaca bisa pecah
Ini kenapa ya ko saya mau daftar akun halodoc ga muncul kode Verifikasinya ya?? Padahal nomor dan kartu masih aktif dan masih saya pakai tetapi kode nya ga muncul terus ini gimana sih eror ya?,ini kenapa ya ko saya mau daftar akun halodoc ga muncul kode verifikasinya ya   padahal nomor dan kartu masih aktif dan masih saya pakai tetapi kode nya ga muncul terus ini gimana sih eror ya 
"Sangat buruk bgt , masak transaksi sudah berhasil malah dokternya sibuk , trus dibatalin tertera kalo refund berhasil tpi gk ada masuk ke rekening. Tollong dong diperbaiki",sangat buruk bgt   masak transaksi sudah berhasil malah dokternya sibuk   trus dibatalin tertera kalo refund berhasil tpi gk ada masuk ke rekening  tollong dong diperbaiki
